user_input,bot_response,ability,extra_label
"Say , Jim , how about going for a few beers after dinner ?",You know that is tempting but is really not good for our fitness .,conversation,neutral
What do you mean ? It will help us to relax .,Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ?,conversation,neutral
I guess you are right.But what shall we do ? I don't feel like sitting at home .,I suggest a walk over to the gym where we can play singsong and meet some of our friends .,conversation,neutral
That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them .,"Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too .",conversation,happiness
Good.Let ' s go now .,All right .,conversation,happiness
Can you do push-ups ?,"Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute .",conversation,neutral
Really ? I think that's impossible !,You mean 30 push-ups ?,conversation,neutral
Yeah !,"It's easy . If you do exercise everyday , you can make it , too .",conversation,neutral
Can you study with the radio on ?,"No , I listen to background music .",conversation,neutral
What is the difference ?,The radio has too many comerials .,conversation,neutral
Are you all right ?,I will be all right soon . I was terrified when I watched them fall from the wire .,conversation,neutral
Don't worry.He is an acrobat 。,I see .,conversation,neutral
"Hey John , nice skates . Are they new ?","Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates .",conversation,neutral
What position do you play ?,I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense .,conversation,neutral
"Yeah , you ’ re a pretty big guy . I play goalie , myself .","Oh , yeah ? Which team ?",conversation,surprise
The Rockets .,"Really ? I think we play you guys next week . Well , I have to go to practice . See you later .",conversation,surprise
"Hey Lydia , what are you reading ?","I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling !",conversation,happiness
What are you talking about ? Let me see that ... What are horoscopes ?,"It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ?",conversation,neutral
January 5th .,"Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers !",conversation,happiness
"That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense .","No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize .",conversation,neutral
"Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ?",A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you !,conversation,happiness
"Frank ’ s getting married , do you believe this ?",Is he really ?,conversation,surprise
"Yes , he is . He loves the girl very much .",Who is he marring ?,conversation,neutral
"A girl he met on holiday in Spain , I think .",Have they set a date for the wedding ?,conversation,neutral
I hear you bought a new house in the northern suburbs .,"That ’ s right , we bought it the same day we came on the market .",conversation,neutral
What kind of house is it ?,It ’ s a wonderful Spanish style .,conversation,happiness
"Oh , I love the roof tiles on Spanish style houses .",And it ’ s a bargaining . A house like this in river side costs double the price .,conversation,happiness
"Great , is it a two bedroom house ?","No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage .",conversation,neutral
That ’ s a nice area too . It ’ ll be a good investment for you .,"Yeas , when will you buy a house ?",conversation,neutral
"Not untill the end of this year , you know , just before my wedding .","Right , congratulations .",conversation,happiness
"Hi , Becky , what's up ?","Not much , except that my mother-in-law is driving me up the wall .",conversation,neutral
What's the problem ?,She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around .,conversation,neutral
For example ?,"Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her .",conversation,neutral
"No , I can't see that happening . I know you're a good cook and nothing like that would ever happen .",It's not just that . She also criticizes how we raise the kids .,conversation,neutral
"My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun .",You said she used to ? How did you stop her ?,conversation,neutral
"We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful .",That sounds like a good idea . I'll have to try that .,conversation,happiness
How are Zina's new programmers working out ?,"I hate to admit it , but they're good . And fast . The Filipino kid is a genius .",conversation,neutral
"So you'll make the Stars.com deadline , and have us up and running next week ?","It'll be close , but we'll make it .",conversation,neutral
"Good . After Stars.com starts paying us , we won't need Vikam's cash anymore .","And if we don't need them , we won't need Zina , either .",conversation,neutral
Do you like cooking ?,Yes . I like cooking very much . I got this hobby when I was 12 years sold .,conversation,happiness
Why do you like it ?,I have no idea . I like cooking by myself . I like to taste delicious food .,conversation,neutral
That's wonderful !,"And I love trying new recipes , which I usually test with my friends . You can come , too .",conversation,neutral
Really ? I hope I can have a chance to taste it . Don't forget to tell me .,Certainly .,conversation,neutral
Anyone home ? Jen !,I'm in the kitchen ... let yourself in !,conversation,neutral
Wow ! You're really working up a storm !,I know . I've even worked up a sweat .,conversation,neutral
You look so tan and healthy !,Thanks . I just got back from summer camp .,conversation,happiness
How was it ?,Great . I got to try so many things for the first time .,conversation,happiness
Like what ?,"I went sailing , fishing , and horseback riding .",conversation,neutral
I ’ m so jealous .,The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes !,conversation,happiness
"Diana , do you like the perfume I gave you ?","It ’ s good . But to tell you the truth , I don ’ t wear perfume .",conversation,neutral
I ’ m sorry . I didn ’ t know that .,That ’ s all right . Thank you all the same .,conversation,happiness
"Ah , ah , ah ...","All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast .",conversation,neutral
Jog ?,"Then , you are to walk to work .",conversation,neutral
Walk ?,Thirty minutes in gym at lunch time .,conversation,neutral
Oh no .,"Use the stairs , never the elevator .",conversation,neutral
"Oh , dear .","And three times a week , you can either swim , play racketball , or hand ball .",conversation,neutral
Oh no .,"OK , you can stop now.It ' s time for the dance class .",conversation,neutral
Dance class ! I don't know how .,You will .,conversation,neutral
"Hi Bill , I saw your grandma yesterday .",Oh where was that ?,conversation,neutral
I was running around the track at my college and there she was walking around the same track .,Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods .,conversation,neutral
"Well , it pays off for her.How old is she anyway ?",She will be 86 next month .,conversation,neutral
I would like to register for a class today .,"No problem , what class would you like to take ?",conversation,neutral
I would very much enjoy taking a Psychology class.Because I'm crazy .,There are two classes that are still open .,conversation,neutral
Which days are these classes on ?,The first class is a Tuesday and Thursday class from two to three .,conversation,neutral
What about the other class ?,The other class is on Monday and Wednesday from 10 am - 12 .,conversation,neutral
Are you sure there are no more open classes ?,I'm positive .,conversation,neutral
